common_name	kingdom	phylum	class	order	family	genus	specific_epithet
Red-throated Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	cervinus
Grassveld Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	cinnamomeus
Olive-backed Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	hodgsoni
Australasian Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	novaeseelandiae
Rock Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	petrosus
Meadow Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	pratensis
American Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	rubescens
Oriental Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	rufulus
Water Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	spinoletta
Tree Pipit	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	trivialis
Yellow-throated Longclaw	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Macronyx	croceus
African Pied Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	aguimp
White Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	alba
Cape Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	capensis
Grey Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	cinerea
Citrine Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	citreola
Western Yellow Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	flava
Eastern Yellow Wagtail	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	tschutschensis
Indian Robin	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Copsychus	fulicatus
White-rumped Shama	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Copsychus	malabaricus
Oriental Magpie-Robin	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Copsychus	saularis
Cape Robin-Chat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Cossypha	caffra
European Robin	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Erithacus	rubecula
Verditer Flycatcher	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Eumyias	thalassinus
European Pied Flycatcher	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Ficedula	hypoleuca
Thrush Nightingale	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Luscinia	luscinia
Common Nightingale	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Luscinia	megarhynchos
Bluethroat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Luscinia	svecica
Fiscal Flycatcher	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Melaenornis	silens
Blue Rock-Thrush	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Monticola	solitarius
African Dusky Flycatcher	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Muscicapa	adusta
Asian Brown Flycatcher	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Muscicapa	dauurica
Spotted Flycatcher	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Muscicapa	striata
Blue Whistling-Thrush	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Myophonus	caeruleus
Familiar Chat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Oenanthe	familiaris
Northern Wheatear	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Oenanthe	oenanthe
Daurian Redstart	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Phoenicurus	auroreus
Plumbeous Water Redstart	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Phoenicurus	fuliginosus
Black Redstart	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Phoenicurus	ochruros
Common Redstart	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Phoenicurus	phoenicurus
Pied Bushchat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	caprata
Siberian Stonechat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	maurus
Whinchat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	rubetra
European Stonechat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	rubicola
African Stonechat	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Saxicola	torquatus
Red-flanked Bluetail	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Tarsiger	cyanurus
Crimson Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Aethopyga	siparaja
Orange-breasted Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Anthobaphes	violacea
Brown-throated Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Anthreptes	malacensis
Amethyst Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Chalcomitra	amethystina
Scarlet-chested Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Chalcomitra	senegalensis
Greater Double-collared Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Cinnyris	afer
Purple Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Cinnyris	asiaticus
Southern Double-collared Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Cinnyris	chalybeus
Olive-backed Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Cinnyris	jugularis
Collared Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Hedydipna	collaris
Purple-rumped Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Leptocoma	zeylonica
Malachite Sunbird	Animalia	Chordata	Aves	Passeriformes	Nectariniidae	Nectarinia	famosa
Black-naped Oriole	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	chinensis
Black-headed Oriole	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	larvatus
Eurasian Golden Oriole	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	oriolus
Olive-backed Oriole	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	sagittatus
Black-hooded Oriole	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Oriolus	xanthornus
Australasian Figbird	Animalia	Chordata	Aves	Passeriformes	Oriolidae	Sphecotheres	vieilloti
Gray Shrikethrush	Animalia	Chordata	Aves	Passeriformes	Pachycephalidae	Colluricincla	harmonica
Golden Whistler	Animalia	Chordata	Aves	Passeriformes	Pachycephalidae	Pachycephala	pectoralis
Rufous Whistler	Animalia	Chordata	Aves	Passeriformes	Pachycephalidae	Pachycephala	rufiventris
Bearded Reedling	Animalia	Chordata	Aves	Passeriformes	Panuridae	Panurus	biarmicus
Spotted Pardalote	Animalia	Chordata	Aves	Passeriformes	Pardalotidae	Pardalotus	punctatus
Striated Pardalote	Animalia	Chordata	Aves	Passeriformes	Pardalotidae	Pardalotus	striatus
Black-crested Titmouse	Animalia	Chordata	Aves	Passeriformes	Paridae	Baeolophus	atricristatus
Tufted Titmouse	Animalia	Chordata	Aves	Passeriformes	Paridae	Baeolophus	bicolor
Oak Titmouse	Animalia	Chordata	Aves	Passeriformes	Paridae	Baeolophus	inornatus
Juniper Titmouse	Animalia	Chordata	Aves	Passeriformes	Paridae	Baeolophus	ridgwayi
Bridled Titmouse	Animalia	Chordata	Aves	Passeriformes	Paridae	Baeolophus	wollweberi
Blue Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Cyanistes	caeruleus
Azure Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Cyanistes	cyanus
Crested Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Lophophanes	cristatus
Great Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Parus	major
Japanese Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Parus	minor
Coal Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Periparus	ater
Black-capped Chickadee	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	atricapillus
Carolina Chickadee	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	carolinensis
Mountain Chickadee	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	gambeli
Boreal Chickadee	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	hudsonicus
Willow Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	montanus
Marsh Tit	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	palustris
Chestnut-backed Chickadee	Animalia	Chordata	Aves	Passeriformes	Paridae	Poecile	rufescens
Golden-crowned Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Basileuterus	culicivorus
Rufous-capped Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Basileuterus	rufifrons
Canada Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Cardellina	canadensis
Wilson's Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Cardellina	pusilla
Kentucky Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	formosa
Mourning Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	philadelphia
MacGillivray's Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	tolmiei
Common Yellowthroat	Animalia	Chordata	Aves	Passeriformes	Parulidae	Geothlypis	trichas
Worm-eating Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Helmitheros	vermivorum
Orange-crowned Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Leiothlypis	celata
Lucy's Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Leiothlypis	luciae
Tennessee Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Leiothlypis	peregrina
Nashville Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Leiothlypis	ruficapilla
Black-and-white Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Mniotilta	varia
Slate-throated Redstart	Animalia	Chordata	Aves	Passeriformes	Parulidae	Myioborus	miniatus
Painted Redstart	Animalia	Chordata	Aves	Passeriformes	Parulidae	Myioborus	pictus
Crescent-chested Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Oreothlypis	superciliosa
Louisiana Waterthrush	Animalia	Chordata	Aves	Passeriformes	Parulidae	Parkesia	motacilla
Northern Waterthrush	Animalia	Chordata	Aves	Passeriformes	Parulidae	Parkesia	noveboracensis
Prothonotary Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Protonotaria	citrea
Ovenbird	Animalia	Chordata	Aves	Passeriformes	Parulidae	Seiurus	aurocapilla
Northern Parula	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	americana
Black-throated Blue Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	caerulescens
Bay-breasted Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	castanea
Cerulean Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	cerulea
Golden-cheeked Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	chrysoparia
Hooded Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	citrina
Yellow-rumped Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	coronata
Prairie Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	discolor
Yellow-throated Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	dominica
Blackburnian Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	fusca
Grace's Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	graciae
Magnolia Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	magnolia
Black-throated Gray Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	nigrescens
Hermit Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	occidentalis
Palm Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	palmarum
Chestnut-sided Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	pensylvanica
Yellow Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	petechia
Pine Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	pinus
Tropical Parula	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	pitiayumi
American Redstart	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	ruticilla
Blackpoll Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	striata
Cape May Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	tigrina
Townsend's Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	townsendi
Black-throated Green Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Setophaga	virens
Golden-winged Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Vermivora	chrysoptera
Blue-winged Warbler	Animalia	Chordata	Aves	Passeriformes	Parulidae	Vermivora	cyanoptera
Rufous-crowned Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Aimophila	ruficeps
Grasshopper Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Ammodramus	savannarum
LeConte's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Ammospiza	leconteii
Nelson's Sharp-tailed Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Ammospiza	nelsoni
Black-throated Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Amphispiza	bilineata
Olive Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Arremonops	rufivirgatus
Bell's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Artemisiospiza	belli
Sagebrush Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Artemisiospiza	nevadensis
Lark Bunting	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Calamospiza	melanocorys
Henslow's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Centronyx	henslowii
Common Chlorospingus	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Chlorospingus	flavopectus
Lark Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Chondestes	grammacus
Dark-eyed Junco	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Junco	hyemalis
Yellow-eyed Junco	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Junco	phaeonotus
Swamp Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melospiza	georgiana
Lincoln's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melospiza	lincolnii
Song Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melospiza	melodia
Abert's Towhee	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melozone	aberti
California Towhee	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melozone	crissalis
Canyon Towhee	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Melozone	fusca
Striped Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Oriturus	superciliosus
Savannah Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Passerculus	sandwichensis
Fox Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Passerella	iliaca
Rufous-winged Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Peucaea	carpalis
Cassin's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Peucaea	cassinii
Stripe-headed Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Peucaea	ruficauda
Green-tailed Towhee	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Pipilo	chlorurus
Eastern Towhee	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Pipilo	erythrophthalmus
Spotted Towhee	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Pipilo	maculatus
Vesper Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Pooecetes	gramineus
Black-chinned Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizella	atrogularis
Brewer's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizella	breweri
Clay-colored Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizella	pallida
Chipping Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizella	passerina
Field Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizella	pusilla
American Tree Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Spizelloides	arborea
White-throated Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	albicollis
Golden-crowned Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	atricapilla
Rufous-collared Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	capensis
White-crowned Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	leucophrys
Harris's Sparrow	Animalia	Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	querula
Southern Gray-headed Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	diffusus
House Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	domesticus
Spanish Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	hispaniolensis
Italian Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	italiae
Cape Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	melanurus
Eurasian Tree Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae	Passer	montanus
Eastern Yellow Robin	Animalia	Chordata	Aves	Passeriformes	Petroicidae	Eopsaltria	australis
Toutouwai	Animalia	Chordata	Aves	Passeriformes	Petroicidae	Petroica	australis
Scarlet Robin	Animalia	Chordata	Aves	Passeriformes	Petroicidae	Petroica	boodang
North Island Robin	Animalia	Chordata	Aves	Passeriformes	Petroicidae	Petroica	longipes
Tomtit	Animalia	Chordata	Aves	Passeriformes	Petroicidae	Petroica	macrocephala
Olive Warbler	Animalia	Chordata	Aves	Passeriformes	Peucedramidae	Peucedramus	taeniatus
Common Chiffchaff	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	collybita
Wood Warbler	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	sibilatrix
Willow Warbler	Animalia	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	trochilus
Grosbeak Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Amblyospiza	albifrons
Red Bishop	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Euplectes	orix
White-browed Sparrow-Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Plocepasser	mahali
Cape Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Ploceus	capensis
Village Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Ploceus	cucullatus
Spectacled Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Ploceus	ocularis
Baya Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Ploceus	philippinus
Southern Masked Weaver	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Ploceus	velatus
Red-billed Quelea	Animalia	Chordata	Aves	Passeriformes	Ploceidae	Quelea	quelea
Blue-gray Gnatcatcher	Animalia	Chordata	Aves	Passeriformes	Polioptilidae	Polioptila	caerulea
California Gnatcatcher	Animalia	Chordata	Aves	Passeriformes	Polioptilidae	Polioptila	californica
Masked Gnatcatcher	Animalia	Chordata	Aves	Passeriformes	Polioptilidae	Polioptila	dumicola
Black-tailed Gnatcatcher	Animalia	Chordata	Aves	Passeriformes	Polioptilidae	Polioptila	melanura
Cape Sugarbird	Animalia	Chordata	Aves	Passeriformes	Promeropidae	Promerops	cafer
Alpine Accentor	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	collaris
Dunnock	Animalia	Chordata	Aves	Passeriformes	Prunellidae	Prunella	modularis
Phainopepla	Animalia	Chordata	Aves	Passeriformes	Ptiliogonatidae	Phainopepla	nitens
Gray Silky-flycatcher	Animalia	Chordata	Aves	Passeriformes	Ptiliogonatidae	Ptiliogonys	cinereus
Satin Bowerbird	Animalia	Chordata	Aves	Passeriformes	Ptilonorhynchidae	Ptilonorhynchus	violaceus
Sombre Greenbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Andropadus	importunus
Brown-eared Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Hypsipetes	amaurotis
Black Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Hypsipetes	leucocephalus
Sooty-headed Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	aurigaster
Common Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	barbatus
Red-vented Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	cafer
Cape Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	capensis
Yellow-vented Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	goiavier
Red-whiskered Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	jocosus
White-eared Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	leucotis
Light-vented Bulbul	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	sinensis
Ruby-crowned Kinglet	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	calendula
Common Firecrest	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	ignicapilla
Goldcrest	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	regulus
Golden-crowned Kinglet	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	satrapa
Verdin	Animalia	Chordata	Aves	Passeriformes	Remizidae	Auriparus	flaviceps
European Penduline Tit	Animalia	Chordata	Aves	Passeriformes	Remizidae	Remiz	pendulinus
Grey Fantail	Animalia	Chordata	Aves	Passeriformes	Rhipiduridae	Rhipidura	albiscapa
New Zealand Fantail	Animalia	Chordata	Aves	Passeriformes	Rhipiduridae	Rhipidura	fuliginosa
Willie Wagtail	Animalia	Chordata	Aves	Passeriformes	Rhipiduridae	Rhipidura	leucophrys
Red-breasted Nuthatch	Animalia	Chordata	Aves	Passeriformes	Sittidae	Sitta	canadensis
White-breasted Nuthatch	Animalia	Chordata	Aves	Passeriformes	Sittidae	Sitta	carolinensis
Eurasian Nuthatch	Animalia	Chordata	Aves	Passeriformes	Sittidae	Sitta	europaea
Brown-headed Nuthatch	Animalia	Chordata	Aves	Passeriformes	Sittidae	Sitta	pusilla
Pygmy Nuthatch	Animalia	Chordata	Aves	Passeriformes	Sittidae	Sitta	pygmaea
Crested Myna	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Acridotheres	cristatellus
Javan Myna	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Acridotheres	javanicus
Common Mynah	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Acridotheres	tristis
Asian Glossy Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Aplonis	panayensis
Violet-backed Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Cinnyricinclus	leucogaster
Asian Pied Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Gracupica	contra
Black-collared Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Gracupica	nigricollis
Red-shouldered Glossy-starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Lamprotornis	nitens
Red-winged Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Onychognathus	morio
White-cheeked Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Spodiopsar	cineraceus
Spotless Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Sturnus	unicolor
European Starling	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Sturnus	vulgaris
Wrentit	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Chamaea	fasciata
Blackcap	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	atricapilla
Garden Warbler	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	borin
Whitethroat	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	communis
Lesser Whitethroat	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	curruca
Sardinian Warbler	Animalia	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	melanocephala
Barred Antshrike	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Thamnophilus	doliatus
Green Honeycreeper	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Chlorophanes	spiza
Bananaquit	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Coereba	flaveola
Red-legged Honeycreeper	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Cyanerpes	cyaneus
Blue Dacnis	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Dacnis	cayana
Cinnamon-bellied Flowerpiercer	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Diglossa	baritula
Great Pampa-Finch	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Embernagra	platensis
Gray-headed Tanager	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Eucometis	penicillata
Lesser Antillean Bullfinch	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Loxigilla	noctis
Black-faced Grassquit	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Melanospiza	bicolor
Yellow-billed Cardinal	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Paroaria	capitata
Red-crested Cardinal	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Paroaria	coronata
Blue-and-yellow Tanager	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Pipraeidea	bonariensis
Silver-beaked Tanager	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	carbo
Crimson-backed Tanager	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	dimidiatus
Flame-rumped Tanager	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	flammigerus
Scarlet-rumped Tanager	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Ramphocelus	passerinii
Black-headed Saltator	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Saltator	atriceps
Golden-billed Saltator	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Saltator	aurantiirostris
Grayish Saltator	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Saltator	coerulescens
Buff-throated Saltator	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Saltator	maximus
Saffron Finch	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sicalis	flaveola
Grassland Yellow-Finch	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sicalis	luteola
Double-collared Seedeater	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sporophila	caerulescens
Variable Seedeater	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sporophila	corvina
Morelet's Seedeater	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sporophila	morelleti
Yellow-bellied Seedeater	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sporophila	nigricollis
Cinnamon-rumped Seedeater	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Sporophila	torqueola
